tool_id,tool_name,vendor_name,tool_type,monthly_cost,active_status
63,Vertex Platform 63,OpenAI,Workflow Automation,5539.39,Under Review
64,Notion Platform 64,Snowflake,Analytics,4151.30,Under Review
65,Notion Platform 65,Notion,Analytics,11965.67,Retired
66,Perplexity Platform 66,IBM,Documentation,14796.89,Under Review
67,Jasper Platform 67,Meta,Content Generation,3156.76,Retired
68,Miro Platform 68,Google,Content Generation,20866.43,Active
69,Perplexity Platform 69,Atlassian,Documentation,22365.22,Pilot
70,Gemini Platform 70,Anthropic,Forecasting,9725.47,Active
71,Gemini Platform 71,Salesforce,Analytics,4387.68,Retired
72,Salesforce Platform 72,Anthropic,Content Generation,9882.57,Active
73,Copilot Platform 73,Anthropic,Forecasting,16933.42,Active
74,Claude Platform 74,Snowflake,Help Desk AI,11847.25,Active
75,Perplexity Platform 75,OpenAI,Forecasting,24465.66,Pilot
76,Power BI Platform 76,Zapier,Content Generation,1683.08,Retired
77,Slack Platform 77,Meta,Documentation,22163.45,Retired
78,Slack Platform 78,Notion,Analytics,7116.19,Retired
79,Watson Platform 79,Zendesk,LLM Assistant,391.39,Active
80,Power BI Platform 80,Snowflake,Documentation,15278.69,Under Review
81,Notion Platform 81,Meta,Sales Intelligence,22831.67,Under Review
82,Notion Platform 82,Microsoft,Analytics,4627.01,Active
83,ChatGPT Platform 83,Databricks,Workflow Automation,1078.21,Pilot
84,Salesforce Platform 84,Zendesk,Workflow Automation,3021.30,Under Review
85,Tableau Platform 85,Adobe,Content Generation,914.12,Pilot
86,Claude Platform 86,Adobe,Documentation,843.86,Pilot
87,ServiceNow Platform 87,Salesforce,Content Generation,1868.33,Active
88,Databricks Platform 88,Zendesk,Documentation,24352.58,Retired
89,Copilot Platform 89,Adobe,Content Generation,16128.51,Under Review
90,Salesforce Platform 90,Databricks,LLM Assistant,17511.02,Retired
91,UiPath Platform 91,Microsoft,Help Desk AI,21443.42,Under Review
92,Watson Platform 92,Adobe,Sales Intelligence,14890.70,Active
93,Power BI Platform 93,Salesforce,Workflow Automation,15576.34,Pilot
94,Perplexity Platform 94,IBM,Sales Intelligence,19929.85,Under Review
95,Tableau Platform 95,Notion,Help Desk AI,23891.71,Under Review
96,Zendesk Platform 96,UiPath,Documentation,5509.62,Retired
97,Vertex Platform 97,Snowflake,Documentation,4430.17,Pilot
98,Miro Platform 98,Adobe,Forecasting,13830.94,Under Review
99,Notion Platform 99,IBM,Workflow Automation,18446.05,Active
100,Zendesk Platform 100,Notion,Help Desk AI,11899.68,Pilot
101,Perplexity Platform 101,OpenAI,Forecasting,11266.43,Pilot
102,Watson Platform 102,Anthropic,Workflow Automation,16137.26,Retired
103,Zendesk Platform 103,UiPath,LLM Assistant,18452.27,Pilot
104,Perplexity Platform 104,Meta,Forecasting,23347.05,Under Review
105,Claude Platform 105,Zapier,Forecasting,3669.78,Active
106,UiPath Platform 106,OpenAI,Forecasting,5673.63,Pilot
107,Zendesk Platform 107,Google,Help Desk AI,23405.44,Under Review
108,Watson Platform 108,Google,Sales Intelligence,11164.82,Active
109,ServiceNow Platform 109,Adobe,Content Generation,415.25,Under Review
110,Slack Platform 110,Salesforce,Analytics,2992.27,Under Review
111,Zendesk Platform 111,Snowflake,Workflow Automation,5167.75,Under Review
112,Salesforce Platform 112,Google,Content Generation,13746.92,Under Review
113,Perplexity Platform 113,UiPath,Sales Intelligence,1175.44,Active
114,Perplexity Platform 114,Microsoft,Forecasting,11285.31,Pilot
115,Databricks Platform 115,OpenAI,Content Generation,1415.66,Pilot
116,Zapier Platform 116,OpenAI,Help Desk AI,13939.40,Retired
117,Slack Platform 117,Notion,Sales Intelligence,458.83,Pilot
118,Snowflake Platform 118,Adobe,Workflow Automation,18039.62,Under Review
119,Zendesk Platform 119,Notion,Content Generation,6664.88,Active
120,Copilot Platform 120,Anthropic,Sales Intelligence,12979.73,Pilot
121,Perplexity Platform 121,Anthropic,Help Desk AI,7203.09,Retired
122,Perplexity Platform 122,Atlassian,Analytics,967.03,Retired
123,Salesforce Platform 123,Zapier,Help Desk AI,24006.42,Active
124,Copilot Platform 124,Zapier,Sales Intelligence,8711.63,Retired
125,Watson Platform 125,OpenAI,Forecasting,14904.30,Active
126,Claude Platform 126,Atlassian,Workflow Automation,24637.99,Pilot
127,Zendesk Platform 127,Salesforce,Help Desk AI,22053.78,Pilot
128,Snowflake Platform 128,Anthropic,Workflow Automation,3648.33,Pilot
129,Zendesk Platform 129,Adobe,Forecasting,5002.71,Under Review
130,Vertex Platform 130,Microsoft,LLM Assistant,14122.89,Under Review
131,ServiceNow Platform 131,Adobe,Forecasting,12301.68,Under Review
132,Zapier Platform 132,Anthropic,Content Generation,8840.58,Under Review
133,Claude Platform 133,Databricks,Documentation,24176.97,Pilot
134,Tableau Platform 134,Anthropic,Analytics,16084.71,Pilot
135,Perplexity Platform 135,Zapier,Forecasting,22956.21,Under Review
136,Copilot Platform 136,Databricks,Analytics,18518.37,Active
137,Miro Platform 137,Zapier,Content Generation,3815.12,Retired
138,Copilot Platform 138,Anthropic,Analytics,4058.37,Retired
139,Notion Platform 139,Salesforce,Documentation,1116.79,Pilot
140,Zapier Platform 140,Zendesk,LLM Assistant,10199.89,Pilot
141,Power BI Platform 141,Zapier,Documentation,268.12,Retired
142,Vertex Platform 142,Zapier,LLM Assistant,13883.48,Retired
143,Zapier Platform 143,Adobe,Sales Intelligence,12563.48,Pilot
144,Tableau Platform 144,Anthropic,Documentation,14943.67,Pilot
145,Slack Platform 145,Microsoft,Content Generation,12888.23,Under Review
146,Slack Platform 146,Anthropic,LLM Assistant,22169.89,Retired
147,Vertex Platform 147,Zapier,Analytics,23373.02,Retired
148,UiPath Platform 148,Snowflake,Forecasting,21299.56,Pilot
149,Miro Platform 149,Anthropic,LLM Assistant,18885.52,Under Review
150,Perplexity Platform 150,Notion,LLM Assistant,4141.66,Pilot
151,ChatGPT Platform 151,Salesforce,Workflow Automation,8237.83,Under Review
152,Vertex Platform 152,UiPath,Sales Intelligence,13366.59,Under Review
153,ChatGPT Platform 153,Atlassian,Content Generation,6114.41,Retired
154,Snowflake Platform 154,Salesforce,Forecasting,3956.98,Pilot
155,Notion Platform 155,Google,Analytics,8574.77,Pilot
156,Notion Platform 156,Zendesk,Analytics,2130.61,Retired
157,Power BI Platform 157,OpenAI,LLM Assistant,9965.39,Retired
158,Tableau Platform 158,Zendesk,Sales Intelligence,8651.38,Active
159,Copilot Platform 159,IBM,Workflow Automation,24845.60,Pilot
160,Gemini Platform 160,Anthropic,Content Generation,3970.27,Retired
161,Claude Platform 161,Anthropic,Content Generation,2344.48,Under Review
162,Salesforce Platform 162,Notion,LLM Assistant,9019.55,Active
163,Salesforce Platform 163,UiPath,Analytics,10181.57,Under Review
164,Vertex Platform 164,Zapier,Workflow Automation,4865.37,Pilot
165,Salesforce Platform 165,Anthropic,Content Generation,18391.45,Active
166,Claude Platform 166,Zapier,Help Desk AI,21599.97,Active
167,Copilot Platform 167,Notion,Documentation,9155.60,Under Review
168,Zendesk Platform 168,Zapier,Workflow Automation,19374.84,Retired
169,Copilot Platform 169,Google,Forecasting,10051.09,Active
170,Tableau Platform 170,Databricks,Help Desk AI,14354.21,Retired
171,Slack Platform 171,Snowflake,Help Desk AI,24864.71,Retired
172,Salesforce Platform 172,Snowflake,Sales Intelligence,11394.21,Retired
173,ChatGPT Platform 173,Notion,Analytics,21382.92,Under Review
174,ChatGPT Platform 174,Notion,LLM Assistant,22243.17,Under Review
175,Snowflake Platform 175,Anthropic,Forecasting,21469.65,Active
176,Claude Platform 176,Snowflake,Forecasting,11766.97,Under Review
177,Miro Platform 177,Atlassian,Content Generation,6006.84,Active
178,Watson Platform 178,Adobe,Sales Intelligence,6523.44,Pilot
179,ChatGPT Platform 179,UiPath,Help Desk AI,22500.92,Retired
180,ServiceNow Platform 180,Microsoft,Help Desk AI,23721.22,Under Review
181,Zendesk Platform 181,OpenAI,Help Desk AI,16349.90,Pilot
182,ChatGPT Platform 182,IBM,Content Generation,3835.87,Under Review
183,Power BI Platform 183,Anthropic,Workflow Automation,21821.74,Pilot
184,Vertex Platform 184,Meta,Analytics,24644.07,Retired
185,Zapier Platform 185,Zapier,Workflow Automation,17340.73,Retired
186,ServiceNow Platform 186,Zapier,LLM Assistant,22907.68,Retired
187,UiPath Platform 187,Notion,Documentation,264.94,Active
188,Slack Platform 188,Zendesk,Content Generation,9179.12,Under Review
189,Gemini Platform 189,Atlassian,LLM Assistant,23832.22,Retired
190,Databricks Platform 190,Anthropic,Documentation,10562.01,Pilot
191,Slack Platform 191,Microsoft,LLM Assistant,24364.23,Under Review
192,Vertex Platform 192,Notion,Workflow Automation,6651.16,Retired
193,Vertex Platform 193,Snowflake,Forecasting,1113.48,Active
194,Zapier Platform 194,UiPath,Sales Intelligence,8405.25,Under Review
195,Salesforce Platform 195,Atlassian,LLM Assistant,11131.52,Pilot
196,Vertex Platform 196,UiPath,Documentation,3334.63,Active
197,Vertex Platform 197,OpenAI,LLM Assistant,12566.31,Active
198,Tableau Platform 198,OpenAI,Documentation,1995.30,Under Review
199,Vertex Platform 199,Microsoft,LLM Assistant,18525.05,Under Review
200,Snowflake Platform 200,Microsoft,Content Generation,7838.86,Active
201,Claude Platform 201,Zendesk,Documentation,14228.88,Active
202,Slack Platform 202,Snowflake,LLM Assistant,15079.52,Pilot
203,Watson Platform 203,Microsoft,LLM Assistant,19702.71,Pilot
204,Zapier Platform 204,Google,Help Desk AI,11845.42,Under Review
205,Power BI Platform 205,IBM,Analytics,1644.06,Retired
206,Zapier Platform 206,Zendesk,Sales Intelligence,10397.58,Pilot
207,Tableau Platform 207,Adobe,Help Desk AI,19969.34,Retired
208,ChatGPT Platform 208,Anthropic,Analytics,2078.24,Active
209,Databricks Platform 209,Atlassian,Workflow Automation,6765.64,Pilot
210,Vertex Platform 210,Atlassian,Workflow Automation,22084.48,Under Review
211,Miro Platform 211,Databricks,Sales Intelligence,19153.57,Retired
212,Miro Platform 212,Salesforce,Content Generation,10968.16,Under Review
213,Copilot Platform 213,Adobe,Workflow Automation,321.64,Pilot
214,Claude Platform 214,Meta,Workflow Automation,8032.48,Retired
215,Snowflake Platform 215,IBM,Content Generation,6237.83,Active
216,Zendesk Platform 216,OpenAI,Forecasting,11927.03,Active
217,Tableau Platform 217,Salesforce,Documentation,6570.63,Retired
218,Copilot Platform 218,OpenAI,Workflow Automation,6682.28,Pilot
219,Jasper Platform 219,Databricks,Analytics,11335.85,Pilot
220,Power BI Platform 220,IBM,LLM Assistant,5969.84,Active
221,ChatGPT Platform 221,Zapier,Analytics,12616.65,Active
222,Slack Platform 222,Notion,Workflow Automation,10196.46,Retired
223,Zendesk Platform 223,Snowflake,Analytics,17466.98,Under Review
224,Vertex Platform 224,Microsoft,Analytics,4485.79,Pilot
225,UiPath Platform 225,Zendesk,Sales Intelligence,10618.60,Pilot
226,Copilot Platform 226,UiPath,Workflow Automation,17746.29,Pilot
227,Slack Platform 227,IBM,LLM Assistant,20826.80,Pilot
228,Perplexity Platform 228,Meta,Documentation,7056.73,Under Review
229,Miro Platform 229,Microsoft,Analytics,16866.39,Retired
230,Gemini Platform 230,Anthropic,Documentation,6065.32,Retired
231,Perplexity Platform 231,Databricks,Documentation,23650.96,Under Review
232,Jasper Platform 232,Meta,Content Generation,21109.92,Active
233,ServiceNow Platform 233,IBM,Workflow Automation,15013.86,Under Review
234,ServiceNow Platform 234,Salesforce,Content Generation,12556.57,Retired
235,Jasper Platform 235,Anthropic,Forecasting,4601.75,Retired
236,Claude Platform 236,Anthropic,Sales Intelligence,7742.58,Under Review
237,Perplexity Platform 237,Meta,Sales Intelligence,14162.45,Under Review
238,Databricks Platform 238,Atlassian,Documentation,10588.27,Active
239,Power BI Platform 239,Adobe,Workflow Automation,8903.65,Retired
240,Vertex Platform 240,Salesforce,Forecasting,9257.93,Active
241,Watson Platform 241,Microsoft,Sales Intelligence,1454.55,Retired
242,ServiceNow Platform 242,Snowflake,Sales Intelligence,8392.30,Retired
243,ServiceNow Platform 243,Databricks,Analytics,24854.72,Retired
244,ChatGPT Platform 244,UiPath,Help Desk AI,9435.82,Under Review
245,Snowflake Platform 245,Zapier,LLM Assistant,15666.65,Pilot
246,Snowflake Platform 246,IBM,Workflow Automation,23902.75,Under Review
247,Salesforce Platform 247,Anthropic,Documentation,23875.81,Retired
248,Vertex Platform 248,Atlassian,Workflow Automation,14250.77,Under Review
249,ServiceNow Platform 249,Adobe,Documentation,18499.03,Pilot
250,Zapier Platform 250,Zapier,Analytics,10212.94,Active
251,Gemini Platform 251,UiPath,Sales Intelligence,11335.23,Under Review
252,Snowflake Platform 252,UiPath,Help Desk AI,10884.59,Active
253,Tableau Platform 253,Google,Sales Intelligence,18818.63,Under Review
254,Snowflake Platform 254,IBM,Content Generation,2287.53,Pilot
255,Gemini Platform 255,Microsoft,Sales Intelligence,18861.96,Retired
256,Vertex Platform 256,Google,Forecasting,22314.55,Active
257,Miro Platform 257,Adobe,LLM Assistant,6317.20,Under Review
258,Notion Platform 258,IBM,Workflow Automation,9738.66,Active
259,Claude Platform 259,OpenAI,Sales Intelligence,17191.01,Retired
260,Databricks Platform 260,Zendesk,Analytics,3828.13,Under Review
261,Gemini Platform 261,Databricks,Forecasting,12946.96,Pilot
262,Tableau Platform 262,Zapier,Workflow Automation,10350.43,Under Review
263,Power BI Platform 263,Meta,Help Desk AI,19450.20,Under Review
264,Jasper Platform 264,IBM,LLM Assistant,4875.45,Under Review
265,Miro Platform 265,UiPath,Workflow Automation,17431.33,Under Review
266,Claude Platform 266,Adobe,LLM Assistant,24359.09,Under Review
267,Zendesk Platform 267,Databricks,Help Desk AI,13015.61,Pilot
268,Databricks Platform 268,IBM,Analytics,20441.73,Under Review
269,Snowflake Platform 269,Notion,Analytics,23089.57,Under Review
270,Copilot Platform 270,IBM,Analytics,9171.88,Retired
271,Vertex Platform 271,Databricks,Workflow Automation,16370.41,Active
272,Zendesk Platform 272,Microsoft,Forecasting,16728.77,Retired
273,Databricks Platform 273,Adobe,Analytics,8482.21,Active
274,Claude Platform 274,OpenAI,Forecasting,21134.69,Under Review
275,Snowflake Platform 275,Atlassian,Content Generation,6570.40,Active
276,Jasper Platform 276,Microsoft,Analytics,10918.67,Under Review
277,Gemini Platform 277,Adobe,Forecasting,2904.55,Pilot
278,Claude Platform 278,Google,Documentation,9346.84,Pilot
279,ChatGPT Platform 279,Meta,Forecasting,6007.29,Under Review
280,Power BI Platform 280,Microsoft,LLM Assistant,22396.27,Under Review
281,Zendesk Platform 281,Google,Workflow Automation,23609.03,Pilot
282,Claude Platform 282,Databricks,LLM Assistant,21000.81,Active
283,Snowflake Platform 283,Databricks,Help Desk AI,14748.05,Active
284,Copilot Platform 284,UiPath,Content Generation,6810.93,Retired
285,Salesforce Platform 285,IBM,Forecasting,725.42,Active
286,Slack Platform 286,Zapier,Workflow Automation,22480.67,Pilot
287,Watson Platform 287,UiPath,Analytics,23924.17,Under Review
288,Perplexity Platform 288,Microsoft,Sales Intelligence,10773.56,Pilot
289,Miro Platform 289,IBM,Content Generation,14220.12,Pilot
290,Watson Platform 290,Atlassian,Sales Intelligence,5889.01,Retired
291,ChatGPT Platform 291,Zendesk,Workflow Automation,15233.22,Retired
292,Miro Platform 292,Atlassian,LLM Assistant,2406.89,Under Review
293,Notion Platform 293,UiPath,Documentation,3536.71,Pilot
294,Jasper Platform 294,Microsoft,Sales Intelligence,20872.70,Pilot
295,Slack Platform 295,Google,Sales Intelligence,22035.48,Retired
296,ChatGPT Platform 296,Meta,Documentation,12729.51,Pilot
297,Perplexity Platform 297,Meta,LLM Assistant,7822.02,Active
298,Notion Platform 298,IBM,Content Generation,8180.62,Active
299,Tableau Platform 299,Atlassian,Documentation,9919.20,Under Review
300,ServiceNow Platform 300,Snowflake,LLM Assistant,8000.92,Under Review
301,Slack Platform 301,Google,Help Desk AI,10605.64,Active
302,Perplexity Platform 302,UiPath,Content Generation,21435.81,Active
303,Salesforce Platform 303,Zapier,Sales Intelligence,11430.24,Active
304,Salesforce Platform 304,UiPath,Workflow Automation,20125.87,Retired
305,Power BI Platform 305,Adobe,LLM Assistant,2317.87,Active
306,ServiceNow Platform 306,OpenAI,Analytics,6891.13,Pilot
307,Zapier Platform 307,Anthropic,Workflow Automation,7943.51,Under Review
308,Claude Platform 308,Salesforce,Analytics,23847.20,Under Review
309,Power BI Platform 309,Meta,Workflow Automation,10132.29,Under Review
310,ServiceNow Platform 310,Salesforce,Documentation,2821.95,Retired
311,Snowflake Platform 311,Zendesk,Analytics,15624.44,Under Review
312,Tableau Platform 312,Zapier,Documentation,849.76,Under Review
313,Vertex Platform 313,UiPath,Help Desk AI,19702.54,Pilot
314,Jasper Platform 314,Zendesk,Documentation,10222.45,Under Review
315,UiPath Platform 315,Meta,Documentation,2557.33,Under Review
316,ServiceNow Platform 316,Google,Workflow Automation,336.01,Retired
317,Gemini Platform 317,Zendesk,Content Generation,13131.97,Retired
318,Snowflake Platform 318,Adobe,Help Desk AI,21205.99,Active
319,Databricks Platform 319,Notion,LLM Assistant,4278.38,Pilot
320,ServiceNow Platform 320,UiPath,Content Generation,8564.77,Retired
321,Perplexity Platform 321,Databricks,Documentation,21007.69,Active
322,Snowflake Platform 322,Notion,Content Generation,24306.25,Under Review
323,Copilot Platform 323,Notion,Sales Intelligence,20875.71,Active
324,Tableau Platform 324,Salesforce,Documentation,22517.15,Pilot
325,Miro Platform 325,Meta,Analytics,604.12,Active
326,Snowflake Platform 326,Zendesk,Forecasting,17191.91,Under Review
327,Power BI Platform 327,Zapier,Content Generation,8486.69,Under Review
328,Zapier Platform 328,Salesforce,Content Generation,24856.88,Active
329,Watson Platform 329,Snowflake,Sales Intelligence,4876.27,Pilot
330,Snowflake Platform 330,Databricks,Help Desk AI,410.99,Under Review
331,ChatGPT Platform 331,Microsoft,Forecasting,23016.42,Under Review
332,Notion Platform 332,Databricks,Content Generation,5791.18,Pilot
333,Tableau Platform 333,IBM,Documentation,6163.50,Active
334,Claude Platform 334,Meta,Workflow Automation,6282.20,Pilot
335,ServiceNow Platform 335,Salesforce,Content Generation,14641.63,Active
336,Power BI Platform 336,Microsoft,Help Desk AI,3008.38,Retired
337,Vertex Platform 337,Atlassian,LLM Assistant,19390.23,Under Review
338,Watson Platform 338,OpenAI,LLM Assistant,8918.75,Active
339,Zapier Platform 339,UiPath,LLM Assistant,3373.21,Active
340,Snowflake Platform 340,Meta,Help Desk AI,16122.47,Retired
341,Miro Platform 341,Zendesk,Sales Intelligence,12349.68,Retired
342,Slack Platform 342,Zapier,Workflow Automation,12036.67,Under Review
343,Miro Platform 343,OpenAI,Sales Intelligence,11021.81,Active
344,Claude Platform 344,Zapier,Content Generation,23964.84,Pilot
345,ChatGPT Platform 345,Meta,Forecasting,17587.28,Pilot
346,Zendesk Platform 346,Adobe,Documentation,17072.41,Pilot
347,ChatGPT Platform 347,Snowflake,Sales Intelligence,744.63,Active
348,Slack Platform 348,Snowflake,Documentation,7853.61,Under Review
349,Miro Platform 349,UiPath,Forecasting,11614.43,Under Review
350,Watson Platform 350,Databricks,Content Generation,9829.61,Pilot
351,Perplexity Platform 351,Notion,LLM Assistant,4389.50,Active
352,Notion Platform 352,Zapier,Documentation,5706.90,Active
353,Gemini Platform 353,Snowflake,Workflow Automation,8174.21,Active
354,Watson Platform 354,Zendesk,LLM Assistant,5450.93,Retired
355,Snowflake Platform 355,UiPath,Help Desk AI,7421.72,Under Review
356,Watson Platform 356,Snowflake,Analytics,17715.63,Under Review
357,Vertex Platform 357,UiPath,Sales Intelligence,7533.93,Active
358,Slack Platform 358,Zendesk,Content Generation,21627.64,Under Review
359,Salesforce Platform 359,IBM,Help Desk AI,3990.29,Active
360,Vertex Platform 360,Atlassian,Workflow Automation,24599.94,Retired
361,Tableau Platform 361,Zapier,Sales Intelligence,12658.58,Active
362,Notion Platform 362,OpenAI,Workflow Automation,12918.98,Retired
363,Zendesk Platform 363,UiPath,Analytics,17231.66,Pilot
364,Watson Platform 364,Zendesk,LLM Assistant,17838.85,Retired
365,Tableau Platform 365,Zapier,Help Desk AI,7373.50,Under Review
366,Tableau Platform 366,Meta,Help Desk AI,4979.75,Active
367,Miro Platform 367,Atlassian,Help Desk AI,16661.99,Active
368,Jasper Platform 368,Zapier,Documentation,20879.83,Under Review
369,Notion Platform 369,Databricks,Content Generation,2127.98,Retired
370,Tableau Platform 370,Zapier,Workflow Automation,24207.93,Pilot
371,Copilot Platform 371,Notion,Analytics,16174.73,Retired
372,Power BI Platform 372,OpenAI,Content Generation,11256.42,Under Review
373,Zendesk Platform 373,UiPath,Content Generation,13014.07,Retired
374,Notion Platform 374,Databricks,Workflow Automation,23173.86,Under Review
375,Watson Platform 375,Google,Sales Intelligence,24850.79,Active
376,Notion Platform 376,Adobe,Analytics,19112.14,Under Review
377,Notion Platform 377,Notion,Analytics,7073.22,Pilot
378,ChatGPT Platform 378,Atlassian,Forecasting,22427.79,Pilot
379,Snowflake Platform 379,Zendesk,Analytics,2045.10,Under Review
380,Power BI Platform 380,OpenAI,Forecasting,17089.65,Under Review
381,Tableau Platform 381,Snowflake,Content Generation,8228.03,Pilot
382,Snowflake Platform 382,Adobe,Help Desk AI,22743.60,Pilot
383,Snowflake Platform 383,UiPath,Forecasting,15393.86,Under Review
384,Jasper Platform 384,Snowflake,Documentation,12236.01,Active
385,Vertex Platform 385,Microsoft,Documentation,21217.67,Pilot
386,ChatGPT Platform 386,Meta,Documentation,9169.69,Active
387,Zapier Platform 387,Google,Content Generation,16066.00,Under Review
388,Notion Platform 388,Meta,Analytics,3458.33,Pilot
389,Snowflake Platform 389,Zapier,LLM Assistant,13103.56,Under Review
390,Vertex Platform 390,Anthropic,Forecasting,24890.75,Active
391,Power BI Platform 391,Zapier,Analytics,374.55,Retired
392,Watson Platform 392,OpenAI,Analytics,19044.21,Pilot
393,Vertex Platform 393,Anthropic,Help Desk AI,24876.04,Active
394,Perplexity Platform 394,Salesforce,Sales Intelligence,18039.17,Active
395,Salesforce Platform 395,Salesforce,LLM Assistant,17221.90,Retired
396,UiPath Platform 396,Adobe,Analytics,19109.49,Retired
397,Perplexity Platform 397,Notion,Sales Intelligence,20063.54,Pilot
398,Watson Platform 398,Snowflake,LLM Assistant,7969.04,Pilot
399,Notion Platform 399,Zapier,Workflow Automation,4597.60,Pilot
400,Zapier Platform 400,Atlassian,Help Desk AI,4410.73,Under Review
401,Vertex Platform 401,Anthropic,Help Desk AI,8741.38,Pilot
402,Snowflake Platform 402,Adobe,Forecasting,8528.68,Pilot
403,UiPath Platform 403,IBM,Forecasting,20829.73,Pilot
404,Zendesk Platform 404,Meta,Analytics,13952.82,Retired
405,Databricks Platform 405,Zendesk,LLM Assistant,19979.25,Retired
406,Watson Platform 406,Anthropic,Forecasting,22612.55,Active
407,Slack Platform 407,Snowflake,Forecasting,12088.91,Retired
408,Tableau Platform 408,Zapier,Workflow Automation,9166.01,Under Review
409,Salesforce Platform 409,Zendesk,Forecasting,4246.18,Retired
410,Zapier Platform 410,Zapier,Documentation,3330.53,Retired
411,UiPath Platform 411,Salesforce,Forecasting,1771.17,Under Review
412,Power BI Platform 412,Atlassian,Content Generation,15825.59,Retired
413,ChatGPT Platform 413,Snowflake,Analytics,21747.13,Under Review
414,Zapier Platform 414,Databricks,Help Desk AI,1932.92,Retired
415,Salesforce Platform 415,Snowflake,Content Generation,23359.46,Under Review
416,Zendesk Platform 416,UiPath,Documentation,16657.29,Under Review
