ticket_id,employee_id,department_id,ticket_date,category,priority_level,status,issue_summary,resolution_time_hours,assigned_team
44,82,818,2024-08-24,Database,Critical,In Progress,Password reset required,31.81,Security
45,783,29,2025-11-22,VPN,Critical,Closed,Help desk request for new account provisioning,69.41,Data Team
46,487,665,2025-09-28,Email,Medium,In Progress,Laptop performance issue,67.76,Networking
47,922,938,2025-08-08,Account,Medium,Resolved,VPN connection fails intermittently,45.54,Security
48,317,193,2024-12-02,Access,Critical,Closed,Help desk request for new account provisioning,46.04,Infrastructure
49,128,149,2024-08-26,Access,Low,Resolved,VPN connection fails intermittently,25.67,IT Support
50,358,498,2026-03-04,Printer,Medium,Pending,Help desk request for new account provisioning,46.27,Applications
51,8,729,2025-05-06,Access,Low,Escalated,Shared drive permission issue,33.70,Applications
52,558,682,2024-11-12,Printer,Medium,Pending,Help desk request for new account provisioning,32.52,Security
53,907,964,2024-11-12,Hardware,Medium,In Progress,Printer not reachable on floor network,64.17,Security
54,35,264,2025-12-08,Security,Low,Escalated,Laptop performance issue,25.74,Networking
55,482,204,2024-08-13,Access,Medium,Escalated,Database timeout during report run,40.90,Data Team
56,986,476,2024-07-09,VPN,Low,Closed,Help desk request for new account provisioning,46.98,Infrastructure
57,713,390,2025-08-05,Network,Medium,Open,Email not syncing to mobile device,42.94,Networking
58,184,377,2024-01-09,Security,Low,Resolved,Password reset required,33.58,Networking
59,437,307,2024-07-30,Network,Critical,Pending,Help desk request for new account provisioning,21.23,Data Team
60,871,574,2025-09-27,Database,High,Resolved,Printer not reachable on floor network,25.43,Applications
61,674,446,2025-02-27,Network,Medium,Pending,Database timeout during report run,63.04,Applications
62,227,315,2026-02-02,Account,High,Pending,Help desk request for new account provisioning,9.17,Data Team
63,604,251,2025-09-09,Database,Medium,Closed,Database timeout during report run,20.22,Security
64,232,589,2024-10-18,Account,High,Pending,Unable to access internal dashboard,38.10,Networking
65,717,575,2025-11-04,Software,Low,Open,Help desk request for new account provisioning,23.97,Security
66,620,741,2024-05-11,VPN,High,In Progress,Help desk request for new account provisioning,48.33,Data Team
67,790,904,2025-10-19,Email,Medium,Pending,VPN connection fails intermittently,18.32,IT Support
68,916,779,2024-01-09,Database,Medium,Open,Password reset required,8.73,Security
69,45,491,2026-02-18,Security,Medium,Resolved,Email not syncing to mobile device,14.28,Networking
70,804,423,2025-12-27,Security,Medium,Resolved,Password reset required,61.93,Infrastructure
71,251,11,2024-02-08,Access,Medium,Resolved,Printer not reachable on floor network,61.15,Security
72,152,741,2024-03-06,Database,Medium,Open,Unable to access internal dashboard,10.61,Networking
73,110,140,2024-12-30,Hardware,Medium,Escalated,Email not syncing to mobile device,61.88,Applications
74,724,610,2025-06-25,Printer,Low,Resolved,Email not syncing to mobile device,45.40,Security
75,569,963,2024-01-03,Printer,Critical,Open,Help desk request for new account provisioning,44.08,IT Support
76,723,370,2024-09-24,Email,Medium,Pending,Email not syncing to mobile device,28.85,Infrastructure
77,75,229,2024-03-27,Email,Medium,Open,Laptop performance issue,21.71,Infrastructure
78,849,418,2024-07-14,Software,Critical,Closed,Password reset required,2.89,Infrastructure
79,318,469,2024-07-18,Account,Low,Escalated,Laptop performance issue,47.41,IT Support
80,238,680,2024-11-04,VPN,High,Escalated,Shared drive permission issue,53.51,Networking
81,674,406,2026-03-31,Email,High,Open,Shared drive permission issue,57.09,Networking
82,728,725,2024-11-17,Software,Medium,Pending,Printer not reachable on floor network,54.36,IT Support
83,908,825,2024-06-05,Hardware,High,Escalated,Software license activation problem,64.08,IT Support
84,270,193,2025-04-21,Access,Medium,Pending,Unable to access internal dashboard,11.59,Data Team
85,811,855,2026-03-23,Security,Critical,In Progress,Password reset required,58.78,Data Team
86,433,401,2024-10-14,Security,Low,Pending,Password reset required,14.73,Infrastructure
87,157,639,2025-06-16,Network,Low,Open,Password reset required,24.11,Data Team
88,221,210,2024-04-20,Access,Medium,In Progress,Laptop performance issue,18.64,Security
89,70,752,2025-03-27,Hardware,High,Escalated,Software license activation problem,26.61,IT Support
90,877,438,2025-03-24,Software,High,Resolved,Help desk request for new account provisioning,25.34,Applications
91,921,767,2024-09-12,Access,Low,Closed,Email not syncing to mobile device,15.56,IT Support
92,933,237,2024-06-26,Database,Medium,Pending,Software license activation problem,12.70,IT Support
93,278,734,2024-08-09,Software,Low,Resolved,Database timeout during report run,33.28,Data Team
94,760,817,2026-04-08,Access,Low,Closed,Password reset required,68.97,Networking
95,136,300,2026-03-27,Access,High,Open,Software license activation problem,58.72,Networking
96,939,852,2025-02-27,Account,High,Resolved,Software license activation problem,52.67,IT Support
97,658,652,2025-05-02,VPN,Medium,Pending,Printer not reachable on floor network,8.07,Data Team
98,948,271,2024-07-06,Access,Medium,Closed,Shared drive permission issue,16.76,Security
99,808,694,2024-06-06,VPN,High,Pending,Shared drive permission issue,62.86,IT Support
100,160,325,2024-07-03,Database,Low,Resolved,Email not syncing to mobile device,28.05,Data Team
101,730,261,2024-10-15,Email,High,In Progress,Laptop performance issue,35.21,Networking
102,463,588,2024-07-11,Hardware,High,Open,Password reset required,6.54,IT Support
103,544,469,2024-05-02,Email,Low,Closed,Email not syncing to mobile device,70.75,Data Team
104,827,941,2025-03-01,Database,Low,Open,Software license activation problem,61.64,Security
105,711,37,2024-10-25,Network,Medium,Pending,VPN connection fails intermittently,42.52,Data Team
106,258,712,2025-09-24,Security,Low,Pending,VPN connection fails intermittently,35.82,Infrastructure
107,146,928,2024-06-28,VPN,Critical,Closed,Database timeout during report run,18.36,Data Team
108,187,168,2025-04-10,Access,Medium,Pending,Password reset required,10.82,Security
109,386,696,2024-06-29,Security,High,Pending,Help desk request for new account provisioning,63.35,Security
110,931,200,2024-07-15,Access,High,In Progress,Laptop performance issue,70.30,Applications
111,454,899,2024-11-05,Access,Medium,Resolved,Software license activation problem,36.86,Data Team
112,13,278,2024-12-04,VPN,Low,In Progress,Unable to access internal dashboard,62.00,Data Team
113,387,785,2025-11-30,Email,High,Open,Help desk request for new account provisioning,55.28,Applications
114,807,699,2024-07-13,VPN,Medium,Resolved,Password reset required,28.90,Networking
115,215,164,2025-11-04,Database,High,Escalated,Laptop performance issue,19.66,Security
116,486,327,2025-05-24,Software,Low,Pending,Help desk request for new account provisioning,11.48,Security
117,908,409,2024-03-23,Security,Medium,In Progress,Help desk request for new account provisioning,10.07,Networking
118,587,743,2025-01-12,Software,Low,Pending,VPN connection fails intermittently,5.60,Security
119,44,156,2024-08-11,Database,Medium,Closed,Help desk request for new account provisioning,29.26,Security
120,475,685,2024-09-07,Software,High,In Progress,Help desk request for new account provisioning,52.17,Networking
121,977,185,2026-02-21,Access,Medium,Open,Email not syncing to mobile device,47.92,Data Team
122,28,662,2025-06-10,Email,Medium,In Progress,Laptop performance issue,52.26,Infrastructure
123,552,779,2025-11-01,Access,Low,Resolved,Shared drive permission issue,61.39,Infrastructure
124,877,161,2025-12-22,Hardware,High,Open,Password reset required,61.31,IT Support
125,178,801,2026-04-28,Hardware,Medium,Pending,Shared drive permission issue,47.89,IT Support
126,382,552,2025-12-29,Software,High,Resolved,Printer not reachable on floor network,38.81,Security
127,916,9,2024-11-01,Hardware,High,Open,Shared drive permission issue,23.86,Data Team
128,60,399,2025-07-04,Account,Critical,In Progress,Unable to access internal dashboard,3.54,Security
129,584,951,2024-06-30,Email,Critical,Escalated,Software license activation problem,46.14,Security
130,852,322,2024-09-07,Email,Medium,Closed,Printer not reachable on floor network,46.10,Applications
131,767,319,2025-02-12,Hardware,Medium,Closed,Password reset required,16.07,Networking
132,115,626,2024-07-03,Software,High,Escalated,Password reset required,13.30,Infrastructure
133,18,313,2024-07-06,Hardware,Low,In Progress,Help desk request for new account provisioning,18.58,Infrastructure
134,996,116,2026-03-25,Account,High,Resolved,Help desk request for new account provisioning,55.73,Networking
135,93,483,2024-04-24,Database,Medium,Escalated,Help desk request for new account provisioning,44.07,Data Team
136,590,708,2024-10-11,Email,Low,In Progress,Shared drive permission issue,50.43,IT Support
137,563,21,2026-01-23,Access,Medium,Escalated,Printer not reachable on floor network,29.80,Networking
138,764,173,2025-12-05,Access,Low,Pending,Laptop performance issue,53.98,Data Team
139,199,558,2024-12-10,Printer,Low,Open,Unable to access internal dashboard,23.51,IT Support
140,830,184,2024-11-30,Account,Medium,Resolved,Laptop performance issue,39.81,IT Support
141,567,706,2024-12-29,Software,Critical,Resolved,Password reset required,47.69,Data Team
142,627,64,2026-02-24,Access,Medium,Resolved,Printer not reachable on floor network,12.23,Security
143,447,956,2026-02-13,Network,High,In Progress,Shared drive permission issue,71.50,Infrastructure
144,625,915,2025-05-28,Printer,High,In Progress,Laptop performance issue,58.74,Security
145,86,518,2026-02-03,Security,High,Closed,Shared drive permission issue,65.78,Security
146,408,466,2024-06-30,Hardware,Medium,Resolved,Database timeout during report run,69.51,IT Support
147,997,77,2024-01-01,Network,Low,Resolved,Password reset required,14.88,Infrastructure
148,624,157,2026-01-04,Hardware,High,Resolved,Laptop performance issue,25.48,Infrastructure
149,755,615,2025-04-17,Hardware,Medium,Pending,Unable to access internal dashboard,29.53,Security
150,395,98,2025-05-19,Access,Medium,Closed,Email not syncing to mobile device,59.52,Infrastructure
151,651,921,2024-01-07,Email,Medium,Closed,Database timeout during report run,18.19,IT Support
152,131,479,2025-09-28,Database,Medium,Escalated,VPN connection fails intermittently,33.44,Data Team
153,114,361,2025-12-12,Database,Medium,Resolved,Laptop performance issue,39.18,Applications
154,677,510,2024-12-24,Software,High,Open,Password reset required,50.66,Security
155,713,977,2025-01-12,Printer,Medium,In Progress,Help desk request for new account provisioning,62.70,Data Team
156,97,142,2026-04-29,Security,Medium,Pending,Help desk request for new account provisioning,36.77,Data Team
157,352,334,2024-06-15,Network,High,Closed,Printer not reachable on floor network,45.42,IT Support
158,456,756,2026-02-21,Account,High,Resolved,Help desk request for new account provisioning,2.11,Applications
159,487,147,2025-10-04,Database,Medium,Resolved,Database timeout during report run,5.00,Security
160,634,406,2025-08-10,VPN,Low,Open,Shared drive permission issue,56.40,Security
161,703,697,2024-11-10,VPN,Medium,Pending,Help desk request for new account provisioning,61.32,Applications
162,283,78,2025-02-19,Email,Low,Resolved,Shared drive permission issue,61.06,IT Support
163,474,249,2025-02-24,Account,High,Resolved,Email not syncing to mobile device,15.25,Networking
164,550,828,2025-08-18,Email,Low,Escalated,Database timeout during report run,56.01,Data Team
165,272,297,2024-01-29,Security,Low,Resolved,Password reset required,47.90,Data Team
166,404,897,2026-04-05,Access,Medium,In Progress,VPN connection fails intermittently,60.25,IT Support
167,409,143,2024-06-16,VPN,Low,Escalated,Database timeout during report run,40.03,IT Support
168,861,558,2024-01-19,Software,Medium,Pending,Email not syncing to mobile device,37.69,Infrastructure
169,570,899,2024-01-01,Email,Medium,In Progress,Unable to access internal dashboard,24.09,Applications
170,835,554,2025-11-13,Email,Medium,Resolved,Software license activation problem,19.23,Networking
171,567,356,2024-04-18,Printer,Critical,In Progress,Unable to access internal dashboard,11.18,Security
172,380,938,2026-03-18,Access,Low,In Progress,Unable to access internal dashboard,49.10,Networking
173,779,696,2025-02-03,Printer,Low,Resolved,Email not syncing to mobile device,46.62,IT Support
174,397,300,2025-01-01,Hardware,Medium,Resolved,Laptop performance issue,59.52,Data Team
175,865,919,2025-11-11,Account,Medium,Resolved,Unable to access internal dashboard,36.44,Security
176,935,20,2026-01-08,Hardware,Medium,In Progress,Printer not reachable on floor network,63.29,IT Support
177,116,647,2024-02-01,Network,Medium,Closed,VPN connection fails intermittently,3.90,Applications
178,311,973,2024-10-29,Account,Low,Resolved,Unable to access internal dashboard,28.63,Applications
179,352,978,2025-11-12,Printer,Medium,Escalated,Email not syncing to mobile device,12.29,IT Support
180,146,807,2025-01-21,Software,Low,Pending,Help desk request for new account provisioning,43.21,Security
181,323,955,2024-05-20,Printer,High,In Progress,Password reset required,9.43,IT Support
182,242,221,2024-12-05,Account,Medium,Open,Database timeout during report run,36.17,Security
183,311,555,2025-02-02,Account,High,Pending,Email not syncing to mobile device,43.21,Data Team
184,335,175,2025-03-23,Hardware,High,In Progress,Shared drive permission issue,16.60,IT Support
185,851,84,2025-05-15,Software,Medium,Closed,Email not syncing to mobile device,16.10,Infrastructure
186,849,883,2025-12-19,Database,Low,Closed,Laptop performance issue,28.70,Networking
187,970,94,2024-07-08,Hardware,Critical,Escalated,Laptop performance issue,66.50,Networking
188,649,994,2024-05-26,VPN,Medium,Escalated,Database timeout during report run,38.83,Data Team
189,253,633,2026-01-19,Security,Medium,Closed,Email not syncing to mobile device,40.12,Infrastructure
190,599,685,2024-07-04,Account,Low,Pending,Password reset required,51.47,Applications
191,416,119,2024-04-13,Email,Medium,Pending,Help desk request for new account provisioning,6.51,IT Support
192,345,939,2024-02-26,Access,Medium,Closed,Unable to access internal dashboard,26.47,Data Team
193,265,459,2024-04-04,VPN,Medium,Escalated,Laptop performance issue,55.18,Networking
194,366,791,2024-08-07,Software,Medium,Resolved,Database timeout during report run,8.52,Security
195,365,595,2024-05-01,Account,High,Resolved,Software license activation problem,14.76,Applications
196,209,38,2025-09-09,Security,Medium,Resolved,Shared drive permission issue,2.67,Infrastructure
197,543,223,2024-05-07,Printer,Low,Open,Laptop performance issue,17.63,Networking
198,941,616,2025-06-17,Software,Medium,Open,Shared drive permission issue,34.42,Data Team
199,832,936,2024-06-28,Email,Low,In Progress,Software license activation problem,39.35,Infrastructure
200,293,848,2024-01-10,Email,Medium,Pending,VPN connection fails intermittently,22.91,IT Support
201,709,314,2025-03-31,Printer,Medium,Closed,Laptop performance issue,66.75,Networking
202,495,832,2024-08-19,Email,Low,Resolved,Help desk request for new account provisioning,62.24,Applications
203,703,490,2025-03-11,Network,Medium,Escalated,Software license activation problem,6.76,Security
204,761,388,2025-03-29,Software,Medium,Escalated,Help desk request for new account provisioning,67.15,Applications
205,215,834,2024-08-17,Printer,Low,Resolved,Help desk request for new account provisioning,18.87,Security
206,813,441,2025-10-06,Account,Critical,Pending,Unable to access internal dashboard,44.09,Data Team
207,810,30,2025-08-22,Access,Low,Resolved,Help desk request for new account provisioning,40.12,Security
208,592,18,2024-08-21,Email,Critical,Closed,Email not syncing to mobile device,12.21,Networking
209,554,609,2024-03-28,Printer,High,Pending,Database timeout during report run,12.67,Applications
210,284,754,2025-02-03,Email,High,Pending,Help desk request for new account provisioning,54.20,Networking
211,742,469,2025-09-21,Database,Medium,In Progress,Shared drive permission issue,65.62,Applications
212,794,912,2026-04-23,VPN,Medium,Closed,Help desk request for new account provisioning,25.42,Data Team
213,969,531,2024-05-09,Hardware,High,Open,Password reset required,10.76,Security
214,598,474,2026-02-02,Email,High,Closed,VPN connection fails intermittently,59.13,Applications
215,554,193,2025-06-25,Database,Critical,Escalated,VPN connection fails intermittently,33.54,Applications
216,595,542,2026-02-07,Account,Critical,Pending,Email not syncing to mobile device,58.48,Applications
217,949,212,2026-03-24,Printer,Medium,In Progress,Shared drive permission issue,71.64,Data Team
218,85,187,2024-04-17,Network,High,In Progress,Shared drive permission issue,36.45,Security
219,117,794,2025-07-03,Hardware,Medium,Resolved,Software license activation problem,60.15,IT Support
220,968,939,2024-10-08,Security,Medium,Open,Help desk request for new account provisioning,47.45,Networking
221,646,867,2025-08-09,Software,High,Escalated,Software license activation problem,41.76,Applications
222,152,574,2024-11-19,Printer,Critical,Resolved,Laptop performance issue,16.30,Applications
223,644,849,2024-04-01,Security,High,Resolved,Unable to access internal dashboard,54.45,Security
224,13,788,2026-02-05,Security,Low,Closed,Printer not reachable on floor network,1.93,Networking
225,125,590,2024-05-04,Network,High,Open,Unable to access internal dashboard,18.28,Data Team
226,874,588,2024-05-08,VPN,Medium,Closed,Email not syncing to mobile device,25.49,Infrastructure
227,437,44,2026-01-10,Database,Low,Resolved,Email not syncing to mobile device,59.58,IT Support
228,735,126,2025-05-29,Access,Medium,Open,Password reset required,21.90,Networking
229,212,411,2025-04-17,Hardware,Critical,Closed,Shared drive permission issue,35.98,Security
230,412,144,2026-02-14,VPN,Low,Closed,Email not syncing to mobile device,36.94,Data Team
231,582,252,2025-02-14,Network,Medium,Resolved,Unable to access internal dashboard,50.86,Networking
232,558,330,2024-12-07,Printer,Low,Closed,Database timeout during report run,32.70,Infrastructure
233,667,343,2024-03-29,Printer,High,In Progress,Help desk request for new account provisioning,35.35,Infrastructure
234,356,809,2024-12-31,Hardware,Low,Pending,Laptop performance issue,28.59,Networking
235,44,676,2025-09-20,Software,High,In Progress,Software license activation problem,35.26,Security
236,876,163,2024-01-29,Email,Medium,Closed,Printer not reachable on floor network,29.80,Applications
237,303,182,2024-09-12,Email,Low,Pending,Database timeout during report run,5.41,Networking
238,423,79,2025-11-30,Access,High,Resolved,Software license activation problem,69.06,Applications
239,914,210,2025-10-11,Security,Medium,Closed,Database timeout during report run,29.79,Applications
240,999,383,2024-02-13,Hardware,Low,Closed,Shared drive permission issue,39.60,Infrastructure
241,220,9,2025-05-17,Account,Low,Escalated,Laptop performance issue,30.69,Data Team
242,270,649,2024-04-14,Account,High,Escalated,VPN connection fails intermittently,38.31,Data Team
243,607,325,2024-08-23,Network,Critical,Resolved,Printer not reachable on floor network,41.62,IT Support
244,508,412,2025-03-04,Account,High,Closed,Help desk request for new account provisioning,45.31,Networking
245,584,178,2024-01-04,Software,Medium,Pending,Help desk request for new account provisioning,36.90,Applications
246,773,984,2024-11-23,Security,Low,Closed,Laptop performance issue,59.93,Applications
247,767,915,2025-07-04,VPN,Low,Escalated,VPN connection fails intermittently,32.93,Infrastructure
248,658,992,2024-01-22,Printer,High,Resolved,VPN connection fails intermittently,56.90,Security
249,278,795,2026-04-20,Access,Medium,In Progress,Help desk request for new account provisioning,36.53,Data Team
250,520,506,2024-03-07,Network,Medium,Escalated,Email not syncing to mobile device,69.27,Infrastructure
251,240,220,2026-01-19,Printer,Medium,Escalated,Software license activation problem,1.50,Applications
252,239,735,2024-04-06,Access,High,Resolved,VPN connection fails intermittently,67.86,Applications
253,525,846,2024-07-16,Printer,Critical,In Progress,Shared drive permission issue,9.63,Infrastructure
254,271,807,2024-12-23,Software,Critical,Pending,VPN connection fails intermittently,47.35,Infrastructure
255,916,88,2024-08-26,Database,Low,Closed,Email not syncing to mobile device,32.69,Infrastructure
256,275,777,2024-01-08,Account,Low,Open,Software license activation problem,49.80,Networking
257,103,579,2024-10-05,Network,Low,Pending,Laptop performance issue,60.57,Networking
258,61,637,2024-03-18,VPN,High,Pending,VPN connection fails intermittently,68.76,Infrastructure
259,769,284,2024-05-27,Email,Critical,Open,Help desk request for new account provisioning,52.71,Data Team
260,155,763,2025-05-01,Printer,Critical,Resolved,Printer not reachable on floor network,15.14,Infrastructure
261,81,508,2025-01-17,Account,High,In Progress,Database timeout during report run,1.50,Networking
262,690,220,2025-10-23,Software,Medium,Open,Shared drive permission issue,59.73,IT Support
263,198,313,2024-02-06,Printer,Medium,Open,Printer not reachable on floor network,15.88,Security
264,153,560,2024-01-13,Printer,Medium,Closed,Password reset required,4.51,Infrastructure
265,36,33,2026-03-08,Database,Medium,In Progress,Printer not reachable on floor network,64.37,Security
266,139,72,2026-01-08,Database,Medium,Escalated,Shared drive permission issue,42.21,IT Support
267,477,488,2024-12-13,Database,Medium,Open,VPN connection fails intermittently,35.89,Infrastructure
268,979,818,2024-12-07,Database,Critical,Open,Software license activation problem,15.96,Security
269,195,771,2024-04-01,Access,High,In Progress,Password reset required,7.19,Infrastructure
270,833,390,2025-07-07,Database,Low,Resolved,Software license activation problem,63.75,Networking
271,508,146,2025-02-03,Software,Low,Pending,Email not syncing to mobile device,62.71,Networking
272,287,762,2026-03-03,Printer,High,Escalated,VPN connection fails intermittently,41.22,Data Team
273,988,71,2026-04-07,VPN,High,Escalated,Database timeout during report run,22.41,Security
274,149,845,2024-02-25,Network,High,Pending,Password reset required,13.63,Infrastructure
275,664,407,2024-04-05,Access,Low,In Progress,Laptop performance issue,65.66,Applications
276,85,146,2026-02-12,Access,Medium,Pending,Software license activation problem,57.55,Security
277,385,632,2024-07-03,Access,Medium,In Progress,Printer not reachable on floor network,46.37,Applications
278,97,231,2024-11-19,Software,Medium,Open,Software license activation problem,43.59,Applications
279,571,25,2026-01-07,Software,Medium,Pending,Email not syncing to mobile device,42.28,Applications
280,392,38,2024-04-24,Software,Low,Resolved,VPN connection fails intermittently,23.36,Data Team
281,945,862,2025-08-18,Hardware,Low,Escalated,Shared drive permission issue,63.48,Networking
282,751,622,2024-10-19,Email,High,Pending,Software license activation problem,40.25,Data Team
283,432,130,2025-11-21,Network,Medium,Open,Unable to access internal dashboard,36.26,Applications
284,468,266,2024-11-15,Access,Medium,In Progress,Software license activation problem,59.19,Data Team
285,579,113,2024-03-31,Database,Low,Pending,Help desk request for new account provisioning,61.02,Infrastructure
286,448,308,2024-03-28,Access,Low,Resolved,Shared drive permission issue,67.23,Infrastructure
287,623,986,2025-02-06,Software,High,Pending,Laptop performance issue,20.42,Applications
288,448,277,2025-06-06,VPN,Critical,Open,Shared drive permission issue,11.78,Infrastructure
289,989,541,2025-08-10,Printer,Medium,Escalated,Password reset required,11.08,IT Support
290,68,171,2024-06-21,Network,High,Escalated,Password reset required,62.43,Applications
291,2,900,2024-12-02,Network,High,Open,Unable to access internal dashboard,1.97,Data Team
292,386,255,2025-06-15,Account,High,Escalated,Software license activation problem,17.61,IT Support
293,5,4,2025-09-18,Email,Medium,Resolved,VPN connection fails intermittently,9.17,IT Support
294,818,3,2025-02-19,Access,Medium,Open,Printer not reachable on floor network,41.09,Networking
295,156,841,2025-10-04,Network,Low,Escalated,Laptop performance issue,67.27,Networking
296,690,545,2025-08-18,Database,High,Closed,Help desk request for new account provisioning,3.70,IT Support
297,815,751,2025-07-08,Security,Medium,Open,Shared drive permission issue,30.91,Applications
298,251,42,2025-02-01,Access,Low,Resolved,Help desk request for new account provisioning,37.33,Networking
299,256,445,2024-08-12,Hardware,High,Closed,Laptop performance issue,68.65,IT Support
300,536,904,2024-04-08,Hardware,Medium,Closed,Help desk request for new account provisioning,40.20,Applications
301,266,338,2025-12-11,Email,Low,Resolved,Database timeout during report run,11.23,IT Support
302,652,267,2024-07-12,Access,Low,In Progress,Email not syncing to mobile device,55.03,Applications
303,421,31,2025-02-26,VPN,Medium,Resolved,Help desk request for new account provisioning,43.20,Applications
304,912,721,2025-08-18,Account,High,Escalated,Software license activation problem,11.10,IT Support
305,60,564,2024-04-07,Software,Medium,Closed,Unable to access internal dashboard,58.42,Networking
306,553,933,2026-02-27,Hardware,High,In Progress,Password reset required,47.16,Data Team
307,611,945,2025-04-02,Account,Critical,In Progress,Printer not reachable on floor network,10.56,Data Team
308,513,909,2024-12-20,Hardware,Medium,Closed,Email not syncing to mobile device,65.20,Security
309,809,935,2024-08-20,Security,High,In Progress,Printer not reachable on floor network,22.78,Infrastructure
310,466,18,2024-12-18,Access,Medium,In Progress,Help desk request for new account provisioning,7.27,Data Team
311,565,719,2024-05-22,Security,Low,Open,Printer not reachable on floor network,67.59,Networking
312,806,647,2024-06-29,Security,Medium,Open,Database timeout during report run,48.09,Security
313,905,33,2024-04-27,Access,Medium,In Progress,Laptop performance issue,4.46,Security
314,25,56,2025-02-22,Hardware,Low,In Progress,Shared drive permission issue,10.75,IT Support
315,92,741,2024-01-31,Software,Medium,In Progress,Help desk request for new account provisioning,53.05,Networking
316,71,360,2025-03-13,Hardware,Low,Closed,Database timeout during report run,68.18,Networking
317,12,510,2025-01-18,Printer,Medium,Pending,Laptop performance issue,68.83,Networking
318,265,320,2026-02-11,Printer,High,Pending,Password reset required,64.41,Security
319,225,873,2025-03-05,Account,Medium,Open,VPN connection fails intermittently,44.98,Applications
320,8,375,2024-08-30,VPN,High,Closed,Laptop performance issue,69.43,Applications
321,866,153,2025-05-18,Account,Medium,Resolved,Printer not reachable on floor network,6.44,Security
322,174,168,2025-07-01,Security,High,Closed,Password reset required,59.56,Networking
323,404,464,2024-07-06,Access,Medium,Escalated,Printer not reachable on floor network,67.35,Networking
